,original_index,ground_truth,synthesized,result
3678,3678,_actions[actionId].actionType==actionType,_actions[actionId].actionType==actionType,Exact Match
3679,3679,allowedToActWithoutPermission[msg.sender],_unlockTime>=epoch,The predicates are not equivalent and neither is stronger.
3680,3680,buckets[_bucketIndex].unstakeStartTime==0,buckets[_bucketIndex].canName!=_canName,The predicates are not equivalent and neither is stronger.
3681,3681,companyAddressAmounts[msg.sender]>=amount,companyAddressAmounts[msg.sender]>=amount,Exact Match
3682,3682,virtualChannels[_vcID].sequence<updateSeq,virtualChannels[_vcID].isInSettlementState,The predicates are not equivalent and neither is stronger.
3683,3683,wave2Counter[msg.sender]<=wave2MaxMintAmt,wave2Counter[msg.sender]<=wave2MaxMintAmt,Exact Match
3684,3684,store.totalUnlock!=10,store.totalUnlock<10,The second predicate is stronger.
3685,3685,swapData.toToken!=ETH,msg.value==swapData.volume,The predicates are not equivalent and neither is stronger.
3686,3686,_ticketIds.length!=0,_lotteryId<=currentLotteryId,The predicates are not equivalent and neither is stronger.
3687,3687,auction.startTime!=0,_auction.monkeyId==0,The predicates are not equivalent and neither is stronger.
3688,3688,isCheck2022PlayerMint[msg.sender]==false,isCheck2022PlayerMint[msg.sender]==false,Exact Match
3689,3689,assetPrecision[quoteData.strikeAsset]>0,quoteData.strikePrice>0,The predicates are not equivalent and neither is stronger.
3690,3690,block.timestamp<_sniperWindowTime[from],block.timestamp>=_sniperWindowTime[to],The predicates are not equivalent and neither is stronger.
3691,3691,eonPassiveMark[0]==checkpoint.eonNumber,checkpoint.eon==eonPassiveMark[0],The predicates are not equivalent and neither is stronger.
3692,3692,indices[i]<tokenRatesCompactData.length,indices[i]<tokenRatesCompactData.length,Exact Match
3693,3693,msg.sender==solidIndexToOwner[_tokenId],msg.sender==solidIndexToOwner[_tokenId],Exact Match
3694,3694,publicMintCount[msg.sender]<publicLimit,publicMintCount[msg.sender]<publicLimit,Exact Match
3695,3695,stakingBalancesLiquidity[msg.sender]==0,stakingBalancesLiquidity[msg.sender]==0,Exact Match
3696,3696,msg.sender!=spender,"approve(spender,tokens)",The predicates are not equivalent and neither is stronger.
3697,3697,signature.length!=0,!isRelayEscheatable(relayRequest.relayData.relayWorker),The predicates are not equivalent and neither is stronger.
3698,3698,tokenData.locked!=1,tokenData.locked==0,The second predicate is stronger.
3699,3699,config.lentTime!=0,config.lentTime>0,The second predicate is stronger.
3700,3700,currentlyOnAuction[itemId].isOnAuction,isOnAuction,The predicates are not equivalent and neither is stronger.
3701,3701,m_Cooldown[_recipient]<block.timestamp,m_Cooldown[_recipient]<block.timestamp,Exact Match
3702,3702,msg.sender!=_owner,_stakeFee>0,The predicates are not equivalent and neither is stronger.
3703,3703,reserveType[reserve]==ReserveType.NONE,reserveType[reserve]==ReserveType.NONE,Exact Match
3704,3704,block.number>=mappingStartBlock[time],block.number>=mappingStartBlock[time],Exact Match
3705,3705,claimedToken[msg.sender]<currentClaim,claimedToken[msg.sender]!=currentClaim,The first predicate is stronger.
3706,3706,deliveryStatus[_tokenId]==Status.Sold,deliveryStatus[_tokenId]==Status.Sold,Exact Match
3707,3707,lotteries[_lotteryID].numberWinner==0,lotteries[_lotteryID].startTime<block.timestamp,The predicates are not equivalent and neither is stronger.
3708,3708,stakeInfo[stakeHolder].amount>=amount,stakeInfo[stakeHolder].amount>=amount,Exact Match
3709,3709,bObject.amount!=0,bObject.amount>0,The second predicate is stronger.
3710,3710,msg.sender!=ADMIN,msg.sender!=ADMIN,Exact Match
3711,3711,msg.sender!=owner,msg.value%ownerPrice==0,The predicates are not equivalent and neither is stronger.
3712,3712,msg.value!=0ether,msg.value>0,The second predicate is stronger.
3713,3713,vesting.amount!=0,vesting.owner==msg.sender,The predicates are not equivalent and neither is stronger.
3714,3714,_accountWallet[_account]==msg.sender,_accountWallet[_account]!=address(0),The predicates are not equivalent and neither is stronger.
3715,3715,availablePackage[_idxPackage].active,availablePackage[_idxPackage].active,Exact Match
3716,3716,block.chainid!=1,msg.sender==dstBoard,The predicates are not equivalent and neither is stronger.
3717,3717,block.timestamp>_releaseTime[lockId],_releaseTime[lockId]<=block.timestamp,The first predicate is stronger.
3718,3718,celebrities[celebrityCount].price==0,_owner!=0x0,The predicates are not equivalent and neither is stronger.
3719,3719,companies[_cardId].is_released==true,companies[_cardId].adv_owner==msg.sender,The predicates are not equivalent and neither is stronger.
3720,3720,entityNodeCount[msg.sender]<maxNodes,initDone,The predicates are not equivalent and neither is stronger.
3721,3721,exchangeTrx[_trxSeq].executed==false,exchangeTrx[_trxSeq].executed==false,Exact Match
3722,3722,mintedCount[msg.sender]<maxPerWallet,mintedCount[msg.sender]<maxPerWallet,Exact Match
3723,3723,msg.sender!=host,reservationstart<reservationend,The predicates are not equivalent and neither is stronger.
3724,3724,msg.sender==delegate[delegateHandle],msg.sender==contractOwner,The predicates are not equivalent and neither is stronger.
3725,3725,secretBids[_addr].hash==computedHash,secretBids[_addr].hash==computedHash,Exact Match
3726,3726,tokenHxbLockedBalances[msg.sender]>0,tokenHxbLockedBalances[msg.sender]>0,Exact Match
3727,3727,tokenHxpFrozenBalances[msg.sender]>0,tokenHxpFrozenBalances[msg.sender]>0,Exact Match
3728,3728,tokenIdToStaker[tokenId]==msg.sender,tokenIdToStaker[tokenId]==msg.sender,Exact Match
3729,3729,tulipIdToOwner[_tulipId]==msg.sender,_tulipId<totalTulipCount,The predicates are not equivalent and neither is stronger.
3730,3730,whitelistPools[_loan.collateralPool],_loan.collateralPool==_pool,The predicates are not equivalent and neither is stronger.
3731,3731,Channels[_lcID].updateLCtimeout<now,now<Channels[_lcID].updateLCtimeout,The predicates are not equivalent and neither is stronger.
3732,3732,MGDCTokenIdTostaker[id]==msg.sender,MGDCTokenIdTostaker[id]==msg.sender,Exact Match
3733,3733,_balances[msg.sender]>=a_coinAmount,a_coinAmount<=_balances[msg.sender],The predicates are equivalent.
3734,3734,aggregators[aggregatorID].length==0,_isValidAggregator(aggregatorAddresses),The predicates are not equivalent and neither is stronger.
3735,3735,block.number<=mappingEndBlock[time],block.number<=mappingEndBlock[time],Exact Match
3736,3736,cooldown[recipient]<block.timestamp,cooldown[recipient]<block.timestamp,Exact Match
3737,3737,miningBalances[msg.sender]>=_amount,miningBalances[msg.sender]>=_amount,Exact Match
3738,3738,numMinted[msg.sender]<mintAllowance,numMinted[msg.sender]+1<=mintAllowance,The second predicate is stronger.
3739,3739,stakingBalancesToken[msg.sender]==0,stakingBalancesToken[msg.sender]==0,Exact Match
3740,3740,totalMintedByAddress[msg.sender]==0,freeMintEnabled,The predicates are not equivalent and neither is stronger.
3741,3741,unitEligibleAddresses[msg.sender]>0,count>0,The predicates are not equivalent and neither is stronger.
3742,3742,outputAssetA.assetType==AztecTypes.AztecAssetType.ERC20,outputAssetA.assetType==AztecTypes.AztecAssetType.ERC20,Exact Match
3743,3743,_auctions[scapeId].endTimestamp==0,!_hasBid(_auctions[scapeId]),The predicates are not equivalent and neither is stronger.
3744,3744,allowlistMinted[msg.sender]==false,!allowlistMinted[msg.sender],The predicates are equivalent.
3745,3745,balances[msg.sender]>=tokensAmount,tokensAmount<=balances[msg.sender],The predicates are equivalent.
3746,3746,mintedCount[msg.sender]<maxMintAmt,mintedCount[msg.sender]+_amount<=maxMintAmt,The predicates are not equivalent and neither is stronger.
3747,3747,msg.sender==currentPatron[tokenId],patrons[tokenId][msg.sender],The predicates are not equivalent and neither is stronger.
3748,3748,nftAddr2nftInfo[nftAddr].isSupport,nftAddr2nftInfo[nftAddr].isSupport,Exact Match
3749,3749,passAmounts[i]<=selected.numPasses,selected.numPasses>=passAmounts[i],The predicates are equivalent.
3750,3750,walletHasMinted[msg.sender]==false,!walletHasMinted[msg.sender],The predicates are equivalent.
3751,3751,claim.batch!=0,claim.balance==totalBalance,The predicates are not equivalent and neither is stronger.
3752,3752,Boxes[boxName].totalCount>=amount,Boxes[boxName].totalCount>=amount,Exact Match
3753,3753,_collabClaimed[msg.sender]==false,!_collabClaimed[msg.sender],The predicates are equivalent.
3754,3754,_deadlines[topic]>block.timestamp,block.timestamp<=_deadlines[topic],The first predicate is stronger.
3755,3755,addressMinNonce[msg.sender]<nonce,nonce>addressMinNonce[msg.sender],The predicates are equivalent.
3756,3756,canvasOwners[tokenId]==msg.sender,canvasOwners[tokenId]==msg.sender,Exact Match
3757,3757,claimableFudBalance[msg.sender]>0,noOfTokens>0,The predicates are not equivalent and neither is stronger.
3758,3758,mintCount[msg.sender]<walletLimit,mintCount[msg.sender]+1<=walletLimit,The second predicate is stronger.
3759,3759,moonBoxes[_tokenId].etherAmount>0,msg.value>0,The predicates are not equivalent and neither is stronger.
3760,3760,msg.sender==baseOnlyInvestor[_id],_from==baseOnlyInvestor[_id],The predicates are not equivalent and neither is stronger.
3761,3761,proposals[_rootHash].timestamp==0,proposals[_rootHash].timestamp==0,Exact Match
3762,3762,tokenGrants[_recipient].amount==0,_recipient!=address(0),The predicates are not equivalent and neither is stronger.
3763,3763,tokenShares.totalShares[token]==0,token!=address(0),The predicates are not equivalent and neither is stronger.
3764,3764,userBalanceSaleMint[msg.sender]<2,userBalanceSaleMint[msg.sender]<1,The second predicate is stronger.
3765,3765,withdrawCooldown[msg.sender]<=now,now>=withdrawCooldown[msg.sender],The predicates are equivalent.
3766,3766,approveMap[_tokenId]==msg.sender,approveMap[_tokenId]==newOwner,The predicates are not equivalent and neither is stronger.
3767,3767,authorised_contracts[msg.sender],authorised_contracts[msg.sender],Exact Match
3768,3768,availTokens[msg.sender]>=_amount,availTokens[msg.sender]>=_amount&&_amount>=0,The second predicate is stronger.
3769,3769,buyCooldown[to]<=block.timestamp,buyCooldown[to]<block.timestamp,The second predicate is stronger.
3770,3770,channel.sequence<updateParams[0],channel.sequence+1==updateParams[0],The second predicate is stronger.
3771,3771,earlyAccessAllowList[msg.sender],earlyAccessAllowList[msg.sender],Exact Match
3772,3772,isApprovedController[msg.sender],isApprovedController[msg.sender],Exact Match
3773,3773,mintedForFree[msg.sender]==false,mintedForFree[msg.sender]==false,Exact Match
3774,3774,msg.value>=subDomains_cost[name],msg.value==subDomains_cost[name],The second predicate is stronger.
3775,3775,phase[_currentPhase].maxTokens>0,_currentPhase<=activePhase,The predicates are not equivalent and neither is stronger.
3776,3776,promosAddress[promo]==msg.sender,promos[promo],The predicates are not equivalent and neither is stronger.
3777,3777,resolveAddress[name]==msg.sender,msg.sender==owner(),The predicates are not equivalent and neither is stronger.
3778,3778,s_requests[lastRequestId].exists,lastRequestId>0,The predicates are not equivalent and neither is stronger.
3779,3779,stakeContracts[msg.sender]==true,stakeContracts[_stakeAddress],The predicates are not equivalent and neither is stronger.
3780,3780,userLock[_holder].release_time>0,userLock[_holder].release_time!=0,The first predicate is stronger.
3781,3781,whitelistForCangster[msg.sender],whitelistForCangster[msg.sender],Exact Match
3782,3782,msg.value!=0,msg.value>0,The second predicate is stronger.
3783,3783,_balanceOf[msg.sender]>=_amount,_balanceOf[msg.sender]>=_amount,Exact Match
3784,3784,_pendingCommitId[msg.sender]==0,_mintCommits[msg.sender][_commitId].tokenId==0,The predicates are not equivalent and neither is stronger.
3785,3785,block.number>_lastTrade[sender],block.number>_lastTrade[sender],Exact Match
3786,3786,goldBalances[msg.sender]>=_gold,goldBalances[msg.sender]>=_gold,Exact Match
3787,3787,hatcheryPacifist[msg.sender]==0,hatcheryPacifist[msg.sender]==0,Exact Match
3788,3788,info.id!=id,info.stakingRewards==address(0),The predicates are not equivalent and neither is stronger.
3789,3789,isStaking[_tokenId]==msg.sender,isStaking[_tokenId]==msg.sender,Exact Match
3790,3790,msg.sender==_ownerOf16[tokenID],_ownerOf16[tokenID]==msg.sender,The predicates are equivalent.
3791,3791,publicMinted[msg.sender]==false,!publicMinted[msg.sender],The predicates are equivalent.
3792,3792,registeredItems[itemId].enabled,registeredItems[itemId].enabled,Exact Match
3793,3793,tokensData[imageHash].tokens==0,tokensData[imageHash].tokens==0,Exact Match
3794,3794,usedAddresses[msg.sender]==true,msg.sender==rootalaBranches[msg.sender],The predicates are not equivalent and neither is stronger.
3795,3795,waveConfigs[wave].paused==false,waveConfigs[wave].paused==false,Exact Match
3796,3796,msg.data.length<=gasAndDataLimits.calldataSizeLimit,gasAndDataLimits.preRelayedCallGasLimit<=relayRequest.relayData.transactionCalldataGasUsed,The predicates are not equivalent and neither is stronger.
3797,3797,LEVEL_PRICE[msg.value]==_level,LEVEL_PRICE[_level]<=msg.value,The predicates are not equivalent and neither is stronger.
3798,3798,_allowListEligible[msg.sender],_allowListEligible[msg.sender],Exact Match
3799,3799,_balancesToClaim[msg.sender]>0,_balancesToClaim[msg.sender]>0,Exact Match
3800,3800,_blackList3[msg.sender]==false,!_blackList3[msg.sender],The predicates are equivalent.
3801,3801,_blackList4[msg.sender]==false,!_blackList4[msg.sender],The predicates are equivalent.
3802,3802,_lockedBy[tokenId]==msg.sender,_lockedBy[tokenId]==msg.sender,Exact Match
3803,3803,contractIsApproved[msg.sender],contractIsApproved[msg.sender],Exact Match
3804,3804,disp.disputeUintVars[_PAID]==0,last.reportedMiner==disp.reportedMiner,The predicates are not equivalent and neither is stronger.
3805,3805,drawsByHash[hash].timestamp==0,membersCount>0,The predicates are not equivalent and neither is stronger.
3806,3806,employee_infos[account].exists,employee_infos[account].exists,Exact Match
3807,3807,freeMintClaimed[msg.sender]==0,freeMintClaimed[msg.sender]+1<=MAX_FREE_MINT_PER_WALLET,The predicates are not equivalent and neither is stronger.
3808,3808,giveaways[_drawId].isFulfilled,giveaways[_drawId].merkleRoot==bytes32(0),The predicates are not equivalent and neither is stronger.
3809,3809,holdAmounts[_address].length>0,_idx<holdAmounts[_address].length,The predicates are not equivalent and neither is stronger.
3810,3810,isExtensionAllowed[msg.sender],isExtensionAllowed[msg.sender],Exact Match
3811,3811,isReserveDepositor[msg.sender],isReserveDepositor[msg.sender],Exact Match
3812,3812,medalFreezed[msg.sender]==true,medalFreezed[msg.sender],The predicates are equivalent.
3813,3813,mintCount[msg.sender]<=mintMax,mintCount[msg.sender]<=mintMax,Exact Match
3814,3814,mintTracker[msg.sender]==false,mintTracker[msg.sender]==false,Exact Match
3815,3815,msg.value==LEVEL_PRICE[_level],msg.value==LEVEL_PRICE[_level],Exact Match
3816,3816,nftStaffsWL[msg.sender]==false,nft2023MembersWL[msg.sender]==false,The predicates are not equivalent and neither is stronger.
3817,3817,nickAddr[_nickOld]==msg.sender,nickAddr[_nickOld]==msg.sender,Exact Match
3818,3818,pools[_token].lastUpdatedAt==0,_token!=address(0)||_lpToken!=address(0),The predicates are not equivalent and neither is stronger.
3819,3819,transactions[_txHash].amount>0,_amount>0,The predicates are not equivalent and neither is stronger.
3820,3820,whitelistedUsers[msg.sender]>0,whitelistedUsers[msg.sender]>0,Exact Match
3821,3821,WRmintedCounts[msg.sender]<=2,AllowedMarketplaces[msg.sender],The predicates are not equivalent and neither is stronger.
3822,3822,__tokens[token].isWhitelisted,__tokens[token].isWhitelisted,Exact Match
3823,3823,_balanceOf[msg.sender]>=value,_balanceOf[msg.sender]>=value,Exact Match
3824,3824,_balances[msg.sender]>=amount,_balances[msg.sender]>=amount,Exact Match
3825,3825,addressToBadge[msg.sender]==0,supply<=10000,The predicates are not equivalent and neither is stronger.
3826,3826,availableToMint[_req.tokenId],signer!=address(0),The predicates are not equivalent and neither is stronger.
3827,3827,controllers[msg.sender]==true,msg.sender==teamFund||msg.sender==advisorsFund||msg.sender==bonusFund||msg.sender==forgetFund||msg.sender==reserveFund,The predicates are not equivalent and neither is stronger.
3828,3828,depositAddress[msg.sender]==0,depositAddress[msg.sender]==0x0,The predicates are not equivalent and neither is stronger.
3829,3829,isApprovedAccount[msg.sender],isApprovedAccount[msg.sender],Exact Match
3830,3830,lastBuyBlock[to]<block.number,lastBuyBlock[to]+3600<block.number,The second predicate is stronger.
3831,3831,mintListAddresses[msg.sender],quantity<=MINTLIST_LIMIT_PER_ADDR,The predicates are not equivalent and neither is stronger.
3832,3832,registeredBurners[msg.sender],registeredBurners[msg.sender],Exact Match
3833,3833,registered[msg.sender]==false,!registered[msg.sender],The predicates are equivalent.
3834,3834,s_requests[_requestId].paid>0,!s_requests[_requestId].fulfilled,The predicates are not equivalent and neither is stronger.
3835,3835,shipStacks[_stackId].deployed,_recipient!=address(0),The predicates are not equivalent and neither is stronger.
3836,3836,vestings[vestingId].amount==0,vestings[vestingId].amount==0,Exact Match
3837,3837,_lockOf[newOwner].numDays==0,newOwner!=address(0),The predicates are not equivalent and neither is stronger.
3838,3838,auctions[auctionId].approved,auctions[auctionId].approved,Exact Match
3839,3839,balanceOf[msg.sender]>=token,token<=balanceOf[msg.sender],The predicates are equivalent.
3840,3840,balance[msg.sender]>=_amount,balance[msg.sender]>=_amount,Exact Match
3841,3841,balances[msg.sender]<_amount,balances[_addr]>=_amount,The predicates are not equivalent and neither is stronger.
3842,3842,ballots[msg.sender]>=_amount,ballots[msg.sender]>=_amount,Exact Match
3843,3843,bondOwner[_bond]==msg.sender,msg.sender==bondOwner[_bond],The predicates are equivalent.
3844,3844,lobbies[lobbyId].id==lobbyId,lobbies[lobbyId].client==address(0),The predicates are not equivalent and neither is stronger.
3845,3845,msg.sender==bondOwner[_bond],msg.sender==dev,The predicates are not equivalent and neither is stronger.
3846,3846,msg.value==STAR_PRICE[_star],STAR_PRICE[_star]<=msg.value,The first predicate is stronger.
3847,3847,nodeOwners[node]==msg.sender,msg.sender==nodeOwners[node],The predicates are equivalent.
3848,3848,ownerOf[tokenId]==msg.sender,ownerOf[tokenId]==msg.sender,Exact Match
3849,3849,pusd_pools[msg.sender]==true,pusd_pools[msg.sender],The predicates are equivalent.
3850,3850,seller[_offerid]==msg.sender,seller[_offerid]==msg.sender,Exact Match
3851,3851,stakes[msg.sender]<=stakeCap,stakes[msg.sender].add(_stake)<=stakeCap,The predicates are not equivalent and neither is stronger.
3852,3852,users[a].expirePeriod==false,a!=address(0),The predicates are not equivalent and neither is stronger.
3853,3853,_holderEligible[msg.sender],_holderEligible[msg.sender],Exact Match
3854,3854,_winners[nftId]==msg.sender,_winnerCostsEuroCents[nftId]>0,The predicates are not equivalent and neither is stronger.
3855,3855,allowList[msg.sender]==true,allowList[msg.sender],The predicates are equivalent.
3856,3856,allowedClaims[msg.sender]>0,allowedClaims[msg.sender]>0,Exact Match
3857,3857,block.timestamp<=amounts[2],block.timestamp<=amounts[2],Exact Match
3858,3858,dogs[_tokenId].GrowUp==true,dogs[_tokenId].GrowUp==true,Exact Match
3859,3859,global[ContractAddr].Rate>0,dapps[msg.sender].AuthoriseRate==true,The predicates are not equivalent and neither is stronger.
3860,3860,greylist[msg.sender]==false,greylist[msg.sender]==false,Exact Match
3861,3861,incomingRouters[msg.sender],incomingRouters[msg.sender],Exact Match
3862,3862,mintedCounts[msg.sender]<=5,AllowedMarketplaces[msg.sender],The predicates are not equivalent and neither is stronger.
3863,3863,mpollRecords[msg.sender]==0,mpollRecords[msg.sender]==0,Exact Match
3864,3864,predictions[_user].length>0,predictions[_user].length>0,Exact Match
3865,3865,presaleReserved[msg.sender],presaleReserved[msg.sender],Exact Match
3866,3866,recoveryKeys[msg.sender]==0,"isOwner(msg.sender,owner)",The predicates are not equivalent and neither is stronger.
3867,3867,registeredUsers[msg.sender],mintedNFTs[msg.sender]<1,The predicates are not equivalent and neither is stronger.
3868,3868,request.nonce>=nonces[user],request.nonce==nonces[user],The second predicate is stronger.
3869,3869,unstaking[msg.sender]==true,unstaking[msg.sender],The predicates are equivalent.
3870,3870,_buyers[msg.sender]==false,_buyers[msg.sender]==false,Exact Match
3871,3871,allowedAddress[msg.sender],allowedAddress[msg.sender],Exact Match
3872,3872,approvedToMint[msg.sender],block.timestamp>=startsAt,The predicates are not equivalent and neither is stronger.
3873,3873,block.number>openPeriod[1],block.number>=openPeriod[0],The predicates are not equivalent and neither is stronger.
3874,3874,claimed[msg.sender]==false,!claimed[msg.sender],The predicates are equivalent.
3875,3875,claims[claimer].balance==0,claims[claimer].balance==0,Exact Match
3876,3876,claims[key].timestamp==0x0,!claimExist(_claimID),The predicates are not equivalent and neither is stronger.
3877,3877,contributors[msg.sender]>0,contributors[msg.sender]>0,Exact Match
3878,3878,evidenceList[id].hash==0x0,id!=0,The predicates are not equivalent and neither is stronger.
3879,3879,isMinter[msg.sender]==true,isMinter[msg.sender],The predicates are equivalent.
3880,3880,soldAssets[voucher.key]==0,soldAssets[voucher.key]==0,Exact Match
3881,3881,stageList[stageId].price>0,stageList[stageId].startAt<=block.timestamp,The predicates are not equivalent and neither is stronger.
3882,3882,trusteesLookup[msg.sender],trusteesLookup[msg.sender],Exact Match
3883,3883,unpausedWallet[msg.sender],_value<=balanceOf(msg.sender),The predicates are not equivalent and neither is stronger.
3884,3884,LEVEL_PRICE[msg.value]==1,msg.value>=LEVEL_PRICE[1],The predicates are not equivalent and neither is stronger.
3885,3885,_balance[msg.sender]>=wad,wad<=_balance[msg.sender],The predicates are equivalent.
3886,3886,_orderLists[id].status==0,_orderLists[id].status==0,Exact Match
3887,3887,addrOf[digitdomain].id==0,bytes(digitdomain).length!=0,The predicates are not equivalent and neither is stronger.
3888,3888,allocations[msg.sender]>0,msg.sender==teamWallet||msg.sender==earlyWallet||msg.sender==institutionWallet,The predicates are not equivalent and neither is stronger.
3889,3889,allow[msg.sender]==_match,client[_match]==msg.sender,The predicates are not equivalent and neither is stronger.
3890,3890,canBeModified[msg.sender],canBeModified[msg.sender],Exact Match
3891,3891,details[id].supplier==0x0,details[id].active,The predicates are not equivalent and neither is stronger.
3892,3892,domains[name]==msg.sender,domains[name]==msg.sender,Exact Match
3893,3893,eggs[_eggId].active==true,eggs[_eggId].active,The predicates are equivalent.
3894,3894,fiatAllowlist[msg.sender],fiatAllowlist[msg.sender],Exact Match
3895,3895,levelMap[_tonnes].isValid,levelMap[_tonnes].isValid,Exact Match
3896,3896,lights[tokenId].available,lights[tokenId].available,Exact Match
3897,3897,mintedFree[msg.sender]==0,msg.value>=minters[_minterRole].mintCost,The predicates are not equivalent and neither is stronger.
3898,3898,poolBets[betId].status==1,poolBets[betId].status==1,Exact Match
3899,3899,poolWhiteList[msg.sender],poolWhiteList[msg.sender],Exact Match
3900,3900,vaultAmount[msg.sender]>0,vaultAmount[msg.sender]>0,Exact Match
3901,3901,vault[tokenId].tokenId==0,vault[tokenId].owner==address(0),The predicates are not equivalent and neither is stronger.
3902,3902,whitelisted[msg.sender]>0,whitelisted[msg.sender]>0,Exact Match
3903,3903,CoreteamMint[msg.sender],CoreteamMint[msg.sender],Exact Match
3904,3904,VIPAmounts[msg.sender]>0,VIPAmounts[msg.sender]>0,Exact Match
3905,3905,_Collection1[msg.sender],totalCollection1Supply+numberOfTokens<=COLLECTION1_MAX,The predicates are not equivalent and neither is stronger.
3906,3906,auctions[tokenId].exists,auctions[tokenId].exists,Exact Match
3907,3907,discountList[msg.sender],discountList[msg.sender],Exact Match
3908,3908,holders[_who].balance==0,_who!=0,The predicates are not equivalent and neither is stronger.
3909,3909,isAuthorized[msg.sender],isAuthorized[msg.sender],Exact Match
3910,3910,marketplaces[msg.sender],account==_msgSender(),The predicates are not equivalent and neither is stronger.
3911,3911,playAddr_[msg.sender]==0,playAddr_[msg.sender]==0,Exact Match
3912,3912,priceTiers[1]<=msg.value,priceTiers[1]<=msg.value,Exact Match
3913,3913,price[_match]==msg.value,msg.value==price[_match],The predicates are equivalent.
3914,3914,prices[currency].value>0,prices[currency].value>0,Exact Match
3915,3915,redeemed[tokenId].submit,redeemed[tokenId].submit,Exact Match
3916,3916,teamcount[msg.sender]<=2,msg.value>=mintPirce*quantity,The predicates are not equivalent and neither is stronger.
3917,3917,vips[_vipId].durance>now,vips[_vipId].durance>0,The predicates are not equivalent and neither is stronger.
3918,3918,_deposits[msg.sender]>0,_deposits[msg.sender]>0,Exact Match
3919,3919,amountMinted[CURRENT_PASS_ID]<CURRENT_PASS_MAX_AMOUNT,quantity<=CURRENT_PASS_PRESALE_MAX_AMOUNT,The predicates are not equivalent and neither is stronger.
3920,3920,balanceOf[msg.sender]>0,!hasStarted(),The predicates are not equivalent and neither is stronger.
3921,3921,items[_id].exists==true,items[_id].exists==true,Exact Match
3922,3922,msg.value>=price[_type],msg.value==price[_type],The second predicate is stronger.
3923,3923,senderLooks[msg.sender],msg.sender==onwer,The predicates are not equivalent and neither is stronger.
3924,3924,users[_account].isExist,users[_account].isExist,Exact Match
3925,3925,_numReds[msg.sender]<2,_numReds[msg.sender]<2,Exact Match
3926,3926,_whitelist[msg.sender],_whitelist[msg.sender],Exact Match
3927,3927,bDB[_bID].refund==true,bDB[_bID].ended==true,The predicates are not equivalent and neither is stronger.
3928,3928,claimed[msg.sender]==0,claimed[msg.sender]<1,The first predicate is stronger.
3929,3929,controller[msg.sender],stakers[msg.sender],The predicates are not equivalent and neither is stronger.
3930,3930,governance[msg.sender],governance[msg.sender],Exact Match
3931,3931,initiators[msg.sender],initiators[msg.sender],Exact Match
3932,3932,terms[_address].max==0,terms[_address].percent==0,The predicates are not equivalent and neither is stronger.
3933,3933,validators[msg.sender],validators[msg.sender],Exact Match
3934,3934,whitelists[msg.sender],whitelists[msg.sender],Exact Match
3935,3935,_isMinter[msg.sender],_isMinter[msg.sender],Exact Match
3936,3936,_records[token].bound,_records[token].bound,Exact Match
3937,3937,allowlist[msg.sender],allowlist[msg.sender],Exact Match
3938,3938,bids[id].bidExpiry==0,bids[id].highBidder==address(0),The predicates are not equivalent and neither is stronger.
3939,3939,deeds[_did].status==0,getDeedStatus(_did)==4,The predicates are not equivalent and neither is stronger.
3940,3940,isFactory[msg.sender],isFactory(msg.sender),The predicates are equivalent.
3941,3941,msg.sender==claimReq.reserved.beneficiary,!soldOut(),The predicates are not equivalent and neither is stronger.
3942,3942,refunds[msg.sender]>0,refunds[msg.sender]>0,Exact Match
3943,3943,whitelist[msg.sender],whitelist[msg.sender],Exact Match
3944,3944,CjII[msg.sender]>=20,_msgSender()==aIXx,The predicates are not equivalent and neither is stronger.
3945,3945,Roles[msg.sender]>=2,Roles[msg.sender]==1,The predicates are not equivalent and neither is stronger.
3946,3946,_total[msg.sender]>0,block.timestamp<end,The predicates are not equivalent and neither is stronger.
3947,3947,isDebtor[msg.sender],isDebtor[msg.sender],Exact Match
3948,3948,managers[msg.sender],managers[msg.sender],Exact Match
3949,3949,operator[msg.sender],msg.sender==owner,The predicates are not equivalent and neither is stronger.
3950,3950,rules[_key].length>0,_value>0,The predicates are not equivalent and neither is stronger.
3951,3951,IxlC[msg.sender]<=1,to!=address(0),The predicates are not equivalent and neither is stronger.
3952,3952,couriers[id].cut==0,couriers[id].wallet==address(0),The predicates are not equivalent and neither is stronger.
3953,3953,isOwner[msg.sender],signatures.length>=signaturesRequired,The predicates are not equivalent and neither is stronger.
3954,3954,modules[msg.sender],modules[msg.sender],Exact Match
3955,3955,pausers[msg.sender],pausers[msg.sender],Exact Match
3956,3956,signers[msg.sender],signers[msg.sender],Exact Match
3957,3957,vesters[msg.sender],vesters[msg.sender],Exact Match
3958,3958,CGF[msg.sender]<=1,to!=address(0),The predicates are not equivalent and neither is stronger.
3959,3959,bud[msg.sender]==1,bud[msg.sender]==1,Exact Match
3960,3960,depositedEther[mevProducerAddress]>=blockPayment,blockNonce==claimedBlockNonce[hash],The predicates are not equivalent and neither is stronger.
3961,3961,plans[_plan].state,_to!=address(0),The predicates are not equivalent and neither is stronger.
3962,3962,refs[msg.sender]>0,msg.sender==ownerWallet1||msg.sender==ownerWallet2||msg.sender==ownerWallet3,The predicates are not equivalent and neither is stronger.
3963,3963,phase.configs.endTime>=block.timestamp,phase.configs.endTime>=block.timestamp,Exact Match
