predicate,label,results,hardness
"WBTC.transferFrom(msg.sender,address(this),_amount)","WBTC.transferFrom(msg.sender,address(this),_amount)",_amount>0,4.31
"_SEED.transferFrom(msg.sender,address(this),amount)","_SEED.transferFrom(msg.sender,address(this),amount)",,4.31
"_numberMinted(msg.sender)+_mintAmount<=maxMintAmount,""max mint amount per session exceeded""","_numberMinted(msg.sender)+_mintAmount<=maxMintAmount,""max mint amount per session exceeded""",,4.31
"_tokenIds.current()+_toMint<=maxTotalSupply,""SettlersNFT: All 2,000 NFT's have been minted""","_tokenIds.current()+_toMint<=maxTotalSupply,""SettlersNFT: All 2,000 NFT's have been minted""",,4.31
changeRequests[oracleGeminon].newAddressRequested!=address(0),changeRequests[oracleGeminon].newAddressRequested!=address(0),,4.31
"erc20.transferFrom(msg.sender,address(this),amount)","erc20.transferFrom(msg.sender,address(this),amount)",,4.31
"getBlockTimestamp()<=eta+GRACE_PERIOD,""Timelock::executeTransaction: Transaction is stale.""","getBlockTimestamp()<=eta+GRACE_PERIOD,""Timelock::executeTransaction: Transaction is stale.""",,4.31
"lendingRenting[_lendingId].lending.tokenId==_tokenId,""Ember::invalid tokenId || _lendingId""","lendingRenting[_lendingId].lending.tokenId==_tokenId,""Ember::invalid tokenId || _lendingId""",,4.31
msg.sender==CaDataContract.atomOwner(uint(_atomId)),msg.sender==CaDataContract.atomOwner(uint(_atomId)),,4.31
"msg.sender==_creator||_agent[msg.sender],""This is not allowed except for _creator or agent""","msg.sender==_creator||_agent[msg.sender],""This is not allowed except for _creator or agent""",,4.31
"msg.value>=(cost*_mintAmount),""Insufficient funds!""","msg.value>=(cost*_mintAmount),""Insufficient funds!""",,4.31
"numberMinted(msg.sender)+_mintAmount<=FREEnftPerAddressLimit,""max NFT per address exceeded""","numberMinted(msg.sender)+_mintAmount<=FREEnftPerAddressLimit,""max NFT per address exceeded""",,4.31
"poolsInfo[pool].reserve!=address(0),""Pool has not been added""","poolsInfo[pool].reserve!=address(0),""Pool has not been added""",,4.31
"referrers[_launchpassId].payee!=address(0),""Invalid referrer""","referrers[_launchpassId].payee!=address(0),""Invalid referrer""",,4.31
"token.transferFrom(msg.sender,address(this),amount)","token.transferFrom(msg.sender,address(this),amount)",,4.31
"workplaceVault[tokenId].owner!=address(0),""Token not at work""","workplaceVault[tokenId].owner!=address(0),""Token not at work""",,4.31
"_checkOnERC721Received(address(0),to,updatedIndex,_data),""ERC721A: transfer to non ERC721Receiver implementer""","_checkOnERC721Received(address(0),to,updatedIndex,_data),""ERC721A: transfer to non ERC721Receiver implementer""",,4.300000000000001
"(c=x+y)>=x,""addition-overflow""","(c=x+y)>=x,""addition-overflow""",,4.3
"AddressUtils.isContract(newPerm),""Cannot set a proxy permission to a non-contract address""","AddressUtils.isContract(newPerm),""Cannot set a proxy permission to a non-contract address""",,4.3
"IERC20(_token).totalSupply()<=maxTokenSupply,""Timelock: maxTokenSupply exceeded""","IERC20(_token).totalSupply()<=maxTokenSupply,""Timelock: maxTokenSupply exceeded""",,4.3
"IERC721(_nftAddress).ownerOf(_tokenId)==_owner,""MBHMarketplace: Not owning item""","IERC721(_nftAddress).ownerOf(_tokenId)==_owner,""MBHMarketplace: Not owning item""",,4.3
"LPToken.balanceOf(_msgSender())>=_amount,""Do not have enough LP tokens to stake""","LPToken.balanceOf(_msgSender())>=_amount,""Do not have enough LP tokens to stake""",,4.3
"OwnableUpgradeable(_nft).owner()==msg.sender,'OO1'","OwnableUpgradeable(_nft).owner()==msg.sender,'OO1'",,4.3
"_dividendToken.balanceOf(address(this))==0,""Requires valid ERC20 dividend token""","_dividendToken.balanceOf(address(this))==0,""Requires valid ERC20 dividend token""",,4.3
"_minted[msg.sender][tokenType]+amount<=_maxPerWallet,""Exceeding max mint per wallet limit""","_minted[msg.sender][tokenType]+amount<=_maxPerWallet,""Exceeding max mint per wallet limit""",,4.3
"_verify(_leaf(msg.sender,addressId),proof,whitelistGroup),""Invalid merkle proof""","_verify(_leaf(msg.sender,addressId),proof,whitelistGroup),""Invalid merkle proof""",,4.3
"address(addr).balance>calculateCost(addr,mintCount),'Address balance not enough'","address(addr).balance>calculateCost(addr,mintCount),'Address balance not enough'",,4.3
"balanceOf(msg.sender)+_mintAmount<=maxMintAmountPerWallet,'maxMintAmountPerWallet reached'","balanceOf(msg.sender)+_mintAmount<=maxMintAmountPerWallet,'maxMintAmountPerWallet reached'",,4.3
"balanceOf(msg.sender)<whitelistMaxPerWallet,""Can only mint 1 token per wallet in Pre-sale""","balanceOf(msg.sender)<whitelistMaxPerWallet,""Can only mint 1 token per wallet in Pre-sale""",totalSupply().add(numberOfTokens)<=MAX_TOKENS,4.3
"balanceOf[src]>=amount,""Coin/insufficient-balance""","balanceOf[src]>=amount,""Coin/insufficient-balance""",,4.3
"balanceOf[usr]>=amount,""Coin/insufficient-balance""","balanceOf[usr]>=amount,""Coin/insufficient-balance""",,4.3
block.number>crowdsaleEndedBlock&&ethRaised<minCap,block.number>crowdsaleEndedBlock&&ethRaised<minCap,,4.3
"bytes(_tokenURIs[tokenId]).length!=0,""URI not set for token""","bytes(_tokenURIs[tokenId]).length!=0,""URI not set for token""",,4.3
"dARTToken.transfer(_msgSender(),_withdrawable),""Transfer failed for some reason""","dARTToken.transfer(_msgSender(),_withdrawable),""Transfer failed for some reason""",,4.3
"data.length>=68+bytes(reason).length,""Invalid revert reason""","data.length>=68+bytes(reason).length,""Invalid revert reason""",,4.3
"dpr.transferFrom(owner,address(this),_amount),""MerkleClaim: TransferFrom failed""","dpr.transferFrom(owner,address(this),_amount),""MerkleClaim: TransferFrom failed""",,4.3
"isWalletLimitExempt[_adr]!=_status,""Not Changed!!""","isWalletLimitExempt[_adr]!=_status,""Not Changed!!""",,4.3
keccak256(abi.encodePacked(msg.sender))==signature,keccak256(abi.encodePacked(msg.sender))==signature,,4.3
msg.sender==ERC721(faContract).ownerOf(_ogTokenId),msg.sender==ERC721(faContract).ownerOf(_ogTokenId),,4.3
"quantity+ogClaimed[msg.sender]<=contractStatus,""Can't mint this much!""","quantity+ogClaimed[msg.sender]<=contractStatus,""Can't mint this much!""",,4.3
"quantity+wlClaimed[msg.sender]<=contractStatus,""Can't mint this much!""","quantity+wlClaimed[msg.sender]<=contractStatus,""Can't mint this much!""",,4.3
"tkn.transferFrom(msg.sender,address(this),_amount)","tkn.transferFrom(msg.sender,address(this),_amount)",,4.3
"token.transferFrom(msg.sender,address(this),value)","token.transferFrom(msg.sender,address(this),value)",,4.3
tokenBalanceOf[msg.sender]-_value<tokenBalanceOf[msg.sender],tokenBalanceOf[msg.sender]-_value<tokenBalanceOf[msg.sender],,4.3
"totalMintedByAddress[receiver]+_mintAmount<=maxMintAmountPerAddress,""Exceeded maximum total amount!""","totalMintedByAddress[receiver]+_mintAmount<=maxMintAmountPerAddress,""Exceeded maximum total amount!""",totalMintedByAddress[receiver]+_mintAmount<=maxMintAmountPerAddress,4.3
"totalSupply().add(amount)<=_pawSupply,""Purchase would exceed max supply of Paws""","totalSupply().add(amount)<=_pawSupply,""Purchase would exceed max supply of Paws""",totalSupply().add(amount)<=_pawSupply,4.3
"totalSupply().add(numberOfTokens)<=MAX_SUPPLY,""Purchase would exceed max supply""","totalSupply().add(numberOfTokens)<=MAX_SUPPLY,""Purchase would exceed max supply""",,4.3
"userInfo[_superUser].superUser!=address(0),""invalid inviter""","userInfo[_superUser].superUser!=address(0),""invalid inviter""",,4.3
"vault.transferToAccount(address(receiver),amount),'FLASH_LENDER_TRANSFER_FAILED'","vault.transferToAccount(address(receiver),amount),'FLASH_LENDER_TRANSFER_FAILED'",,4.3
votingPowerChangeNonce<(1<<64),votingPowerChangeNonce<(1<<64),,4.3
"walletDetails[_wallet].toWallet!=address(0),""Invalid Wallet""","walletDetails[_wallet].toWallet!=address(0),""Invalid Wallet""",,4.3
"(msg.value>=basePrice)||voucher.isFree,""Insufficient funds to redeem""","(msg.value>=basePrice)||voucher.isFree,""Insufficient funds to redeem""",,4.29
"(walletMintCount[msg.sender]+_quantity)<=MAX_MINT,""Max mint exceeded""","(walletMintCount[msg.sender]+_quantity)<=MAX_MINT,""Max mint exceeded""",,4.29
"DAI.transferFrom(msg.sender,address(this),amount)","DAI.transferFrom(msg.sender,address(this),amount)",,4.29
"IERC20(token).transfer(msg.sender,withdrawAmount)","IERC20(token).transfer(msg.sender,withdrawAmount)",,4.29
"MerkleProof.verify(_merkleProof,comics[comicMintId].merkleRoot,node),""You have a bad Merkle Proof.""","MerkleProof.verify(_merkleProof,comics[comicMintId].merkleRoot,node),""You have a bad Merkle Proof.""",,4.29
"Ownable(creator).owner()==msg.sender,""Only owner""","Ownable(creator).owner()==msg.sender,""Only owner""",,4.29
"PERCENT_OF_SOLD_DEV+PERCENT_OF_SOLD_CORE_BUY+PERCENT_OF_SOLD_DELTA_WETH_DEEP_FARMING_VAULT==100,""Amount of weth split not proper""","PERCENT_OF_SOLD_DEV+PERCENT_OF_SOLD_CORE_BUY+PERCENT_OF_SOLD_DELTA_WETH_DEEP_FARMING_VAULT==100,""Amount of weth split not proper""",,4.29
"UTOPIAInterface(stakingContractAddress).authorisedToken(_token),""Invalid token""","UTOPIAInterface(stakingContractAddress).authorisedToken(_token),""Invalid token""",,4.29
"_checkOnERC721Locked(ownerOf(tokenId),msg.sender,tokenId,""""),""Son: lock failed""","_checkOnERC721Locked(ownerOf(tokenId),msg.sender,tokenId,""""),""Son: lock failed""",,4.29
"_contCheck.getMultiplier(address(0))>=0,'contract does not implement interface'","_contCheck.getMultiplier(address(0))>=0,'contract does not implement interface'",,4.29
"_delegatedManager.isPendingExtension(address(this)),""Extension must be pending""","_delegatedManager.isPendingExtension(address(this)),""Extension must be pending""",!isInitialized(address(_delegatedManager)),4.29
"_registry.ownerOf(_tokenId)==address(this),""BuyAdapter: tokenId not transfered""","_registry.ownerOf(_tokenId)==address(this),""BuyAdapter: tokenId not transfered""",,4.29
"_token.balanceOf(address(this))>=totalAirdrop,""Insufficient tokens for airdrop""","_token.balanceOf(address(this))>=totalAirdrop,""Insufficient tokens for airdrop""",totalAirdrop<=availableTokensICO,4.29
"_valid(pair,periodSize.mul(granularity)),""UniswapV2Oracle::quote: stale prices""","_valid(pair,periodSize.mul(granularity)),""UniswapV2Oracle::quote: stale prices""",,4.29
"address(this)==tokenContract.owner(),""RM: Contract not owner of token contract""","address(this)==tokenContract.owner(),""RM: Contract not owner of token contract""",,4.29
"amountsIn*EPoolLibrary.sFactorI/deltaOut<=maxFlashSwapSlippage,""EPoolPeriphery: excessive slippage""","amountsIn*EPoolLibrary.sFactorI/deltaOut<=maxFlashSwapSlippage,""EPoolPeriphery: excessive slippage""",,4.29
"balanceOf(user).add(_mintAmount)<=maxAllowedMint,""Exceeded Max Mint per wallet""","balanceOf(user).add(_mintAmount)<=maxAllowedMint,""Exceeded Max Mint per wallet""",,4.29
"block.number>=(startBlockNumber.sub(claimWindow)),'Crazy Crow: Can not claim crows until claim window starts'","block.number>=(startBlockNumber.sub(claimWindow)),'Crazy Crow: Can not claim crows until claim window starts'",,4.29
"cree.balanceOf(address(this))>=amount,""Not enough tokens available to withdraw""","cree.balanceOf(address(this))>=amount,""Not enough tokens available to withdraw""",amount<=cree.balanceOf(address(this)),4.29
"depositors[msg.sender]!=address(0),""ERR: INVALID_DEPOSITOR""","depositors[msg.sender]!=address(0),""ERR: INVALID_DEPOSITOR""",,4.29
"injectableNft.ownerOf(injectableId)==msg.sender,""Non-Owner""","injectableNft.ownerOf(injectableId)==msg.sender,""Non-Owner""",,4.29
"isCollectionSupported[nftAddress]!=supported,""Already added/removed.""","isCollectionSupported[nftAddress]!=supported,""Already added/removed.""",nftAddress!=address(0),4.29
"kncToken.transferFrom(staker,address(this),amount),'deposit: can not get token'","kncToken.transferFrom(staker,address(this),amount),'deposit: can not get token'",,4.29
"lastBoughtTimestamp[msg.sender].add(lockupPeriod)<=block.timestamp,""Action suspended due to lockup""","lastBoughtTimestamp[msg.sender].add(lockupPeriod)<=block.timestamp,""Action suspended due to lockup""",,4.29
"merchantDiscounts[merchant]!=0,""Cannot update non-existent merchant.""","merchantDiscounts[merchant]!=0,""Cannot update non-existent merchant.""",,4.29
"mintInfo.totalClaimed[msg.sender]+amount<=mintInfo.walletLimit,""You have already claimed the maximum allowed""","mintInfo.totalClaimed[msg.sender]+amount<=mintInfo.walletLimit,""You have already claimed the maximum allowed""",,4.29
"msg.sender==src||amt<=oldValue,""TOKEN_BAD_CALLER""","msg.sender==src||amt<=oldValue,""TOKEN_BAD_CALLER""",,4.29
"msg.value==(TicketPrice[_Game]*_TicketCount),""Not correct ETH amount""","msg.value==(TicketPrice[_Game]*_TicketCount),""Not correct ETH amount""",,4.29
"msg.value>=(_quantity*cost),""InvalidEtherAmount!""","msg.value>=(_quantity*cost),""InvalidEtherAmount!""",msg.value>=cost*_quantity,4.29
"msg.value>=PublicMintPrice*numberOfTokens,""LazyBonesSpaceTrip: Ether sent is less than PRICE * num""","msg.value>=PublicMintPrice*numberOfTokens,""LazyBonesSpaceTrip: Ether sent is less than PRICE * num""",msg.value>=PublicMintPrice*numberOfTokens,4.29
"teamMintClaimed[msg.sender]+_mintAmount<=10,""Max team mint exceeded!""","teamMintClaimed[msg.sender]+_mintAmount<=10,""Max team mint exceeded!""",teamMintClaimed[msg.sender]+_mintAmount<=10,4.29
"token.balanceOf(riskpoolWallet)>=amount,""ERROR:TRS-061:RISKPOOL_WALLET_BALANCE_TOO_SMALL""","token.balanceOf(riskpoolWallet)>=amount,""ERROR:TRS-061:RISKPOOL_WALLET_BALANCE_TOO_SMALL""",,4.29
"tokenCounter.current()+numberOfTokens<=maxPortals,""Not enough portals remaining to claim""","tokenCounter.current()+numberOfTokens<=maxPortals,""Not enough portals remaining to claim""",,4.29
"totalSupply().add(1)<=maxEthWalkers,""Purchase exceeds max supply of ETHWalkers""","totalSupply().add(1)<=maxEthWalkers,""Purchase exceeds max supply of ETHWalkers""",,4.29
"totalSupply().add(quantity)<=maxMintableSupply,""The qty exceeds maximum supply""","totalSupply().add(quantity)<=maxMintableSupply,""The qty exceeds maximum supply""",,4.29
"uint256(_BASE_RESERVE_).sub(baseBalance)<=receiveBaseAmount,""FLASH_LOAN_FAILED""","uint256(_BASE_RESERVE_).sub(baseBalance)<=receiveBaseAmount,""FLASH_LOAN_FAILED""",uint256(_BASE_RESERVE_).sub(baseBalance)<=receiveBaseAmount,4.29
"underlyer.balanceOf(address(this))>=requestedAmount,""INSUFFICIENT_POOL_BALANCE""","underlyer.balanceOf(address(this))>=requestedAmount,""INSUFFICIENT_POOL_BALANCE""",,4.29
"userBalance[msg.sender].basketBalances[_basketIndex].mooniswapPools[b]>0,""balance must be positive""","userBalance[msg.sender].basketBalances[_basketIndex].mooniswapPools[b]>0,""balance must be positive""",,4.29
"whitelistMintCount[msg.sender]+1<=WLOGLimit,'Address already minted!'","whitelistMintCount[msg.sender]+1<=WLOGLimit,'Address already minted!'",,4.29
"whitelist[msg.sender].hasMinted.add(_count)<=MAX_MINT_WHITELIST,""Can only mint 5 while whitelisted""","whitelist[msg.sender].hasMinted.add(_count)<=MAX_MINT_WHITELIST,""Can only mint 5 while whitelisted""",,4.29
"OSQTH.balanceOf(address(this))>=37715590842656521648,""oSQTH balance incorrect""","OSQTH.balanceOf(address(this))>=37715590842656521648,""oSQTH balance incorrect""",,4.28
"TOKEN.transferFrom(staker,address(this),amount),""Staking: transferFrom failed""","TOKEN.transferFrom(staker,address(this),amount),""Staking: transferFrom failed""",,4.28
"UTOPIAInterface(stakingContractAddress).authorisedToken(token),""Invalid token""","UTOPIAInterface(stakingContractAddress).authorisedToken(token),""Invalid token""",,4.28
"_PreviousCollectionAddresses[msg.sender].counter+chosenAmount<=maxPreviousCollectionMintLimit,""Max Previous Collection Mint Limit reached""","_PreviousCollectionAddresses[msg.sender].counter+chosenAmount<=maxPreviousCollectionMintLimit,""Max Previous Collection Mint Limit reached""",,4.28
"_claims[creatorContractAddress][instanceId].storageProtocol!=StorageProtocol.INVALID,""Claim not initialized""","_claims[creatorContractAddress][instanceId].storageProtocol!=StorageProtocol.INVALID,""Claim not initialized""",claim.initialized,4.28
"_erc721WithdrawalAllowances[_originalAddress][_erc721Address][_id].fee>=_reduceBy,""You cannot reduce more than the current fee.""","_erc721WithdrawalAllowances[_originalAddress][_erc721Address][_id].fee>=_reduceBy,""You cannot reduce more than the current fee.""",,4.28
"_isAllowedToMint(uint16(recipients.length)),""Minting not allowed or exceeding""","_isAllowedToMint(uint16(recipients.length)),""Minting not allowed or exceeding""",,4.28
"_value.mod(ONE_BASIS_POINT)==0,""Must be multiple of 0.01%""","_value.mod(ONE_BASIS_POINT)==0,""Must be multiple of 0.01%""",,4.28
"balanceOf(to)+amount<=_amountMaxPerWallet,""Transfer amount exceeds the maxWalletAmount.""","balanceOf(to)+amount<=_amountMaxPerWallet,""Transfer amount exceeds the maxWalletAmount.""",,4.28
"checkAndCallSafeTransfer(address(0),_to,_tokenId,_data),""ERC721: transfer to non ERC721Receiver implementer""","checkAndCallSafeTransfer(address(0),_to,_tokenId,_data),""ERC721: transfer to non ERC721Receiver implementer""",,4.28
"destinationChainContracts[_toChainID]!=address(0),""Chain contract address not specified""","destinationChainContracts[_toChainID]!=address(0),""Chain contract address not specified""",,4.28
"dpr.balanceOf(address(this))>=release_amount,""MerkleClaim: Balance not enough""","dpr.balanceOf(address(this))>=release_amount,""MerkleClaim: Balance not enough""",release_amount>0,4.28
"gaugesForType.remove(address(gauge)),""Gauge was not added to the checkpointer""","gaugesForType.remove(address(gauge)),""Gauge was not added to the checkpointer""",,4.28
"hasRole(STAFF_ROLE,_msgSender()),""Must have staff role to call this function.""","hasRole(STAFF_ROLE,_msgSender()),""Must have staff role to call this function.""",,4.28
"hs&&os&&gs,""Withdraw failed""","hs&&os&&gs,""Withdraw failed""",,4.28
"keccak256(expectedArgs.inputTx)==keccak256(inputTx),""input tx not as expected""","keccak256(expectedArgs.inputTx)==keccak256(inputTx),""input tx not as expected""",,4.28
"numberMinted(msg.sender)+quantity<=maxTokens,""Exceeding claiming limit for this account""","numberMinted(msg.sender)+quantity<=maxTokens,""Exceeding claiming limit for this account""",,4.28
roundownables[round].GOTCH[this]>=amt.mul(10000),roundownables[round].GOTCH[this]>=amt.mul(10000),,4.28
"super.balanceOf(to)+amount<=holdLimitAmount,""Exceeds allowable holding limit per wallet""","super.balanceOf(to)+amount<=holdLimitAmount,""Exceeds allowable holding limit per wallet""",balanceOf(to)+amount<=holdLimitAmount,4.28
"tokenCounter.current()+numberOfTokens<=maxKoodles,""Not enough koodles remaining to mint""","tokenCounter.current()+numberOfTokens<=maxKoodles,""Not enough koodles remaining to mint""",,4.28
"totSupData.length!=0,""StdCheats deal(address,address,uint,uint,bool): target contract is not ERC1155Supply.""","totSupData.length!=0,""StdCheats deal(address,address,uint,uint,bool): target contract is not ERC1155Supply.""",,4.28
"totalSupply()+numberToMint<=TOTAL_NUMBER_OF_GALAXY_WARRIORS,""GalaxyWarriors: Trying to premint more than total supply""","totalSupply()+numberToMint<=TOTAL_NUMBER_OF_GALAXY_WARRIORS,""GalaxyWarriors: Trying to premint more than total supply""",,4.28
"totalSupply()+quantity<=amountForPublicSale,""not enough remaining reserved for auction to support desired mint amount""","totalSupply()+quantity<=amountForPublicSale,""not enough remaining reserved for auction to support desired mint amount""",,4.28
"totalSupply().add(_reserveAmount)<=maxEthWalkers,""No more tokens left to mint""","totalSupply().add(_reserveAmount)<=maxEthWalkers,""No more tokens left to mint""",,4.28
"totalSupply().add(numberOfTokens)<=maxSupply,""Purchase would exceed maxSupply""","totalSupply().add(numberOfTokens)<=maxSupply,""Purchase would exceed maxSupply""",,4.28
"userBalance[msg.sender].basketBalances[_basketIndex].balancerPools[b]>0,""balance must be positive""","userBalance[msg.sender].basketBalances[_basketIndex].balancerPools[b]>0,""balance must be positive""",userBalance[msg.sender].basketBalances[_basketIndex].balancerPools[b]>0,4.28
"users[msg.sender].presalemint.add(_count)<=MAX_BY_MINT_PRESALE,""Exceeds max mint limit per wallet""","users[msg.sender].presalemint.add(_count)<=MAX_BY_MINT_PRESALE,""Exceeds max mint limit per wallet""",,4.28
"LastTimeSell[from]+MinTime<=block.number,""Trying to sell too often!""","LastTimeSell[from]+MinTime<=block.number,""Trying to sell too often!""",,4.279999999999999
"appc.allowance(msg.sender,address(this))>=budget","appc.allowance(msg.sender,address(this))>=budget",,4.279999999999999
"balanceOf[src]>=wad,""Token/insufficient-balance""","balanceOf[src]>=wad,""Token/insufficient-balance""",,4.279999999999999
"balanceOf[usr]>=wad,""Token/insufficient-balance""","balanceOf[usr]>=wad,""Token/insufficient-balance""",balanceOf[usr]>=wad,4.279999999999999
"isExcludedFromFee[_adr]!=_status,""Not Changed!!""","isExcludedFromFee[_adr]!=_status,""Not Changed!!""",,4.279999999999999
m_TotalAlloc.add(_alloc).sub(_priorAlloc)<=10500,m_TotalAlloc.add(_alloc).sub(_priorAlloc)<=10500,,4.279999999999999
"msg.sender==_essenceAddress&&id==1,""Invalid NFT""","msg.sender==_essenceAddress&&id==1,""Invalid NFT""",,4.279999999999999
organizationProposals[_proposalId].beneficiary!=address(0),organizationProposals[_proposalId].beneficiary!=address(0),,4.279999999999999
proof.hash==keccak256(abi.encodePacked(release)),proof.hash==keccak256(abi.encodePacked(release)),,4.279999999999999
"royalties[i].value!=0,""Fee value for RoyaltiesByToken should be > 0""","royalties[i].value!=0,""Fee value for RoyaltiesByToken should be > 0""",,4.279999999999999
"statuses[requestId].player!=address(0),""Request not found""","statuses[requestId].player!=address(0),""Request not found""",randomWords.length==numWords,4.279999999999999
surreality.totalSupply()<surreality.max_supply(),surreality.totalSupply()<surreality.max_supply(),,4.279999999999999
"token.allowance(msg.sender,address(router))>=amt","token.allowance(msg.sender,address(router))>=amt",,4.279999999999999
tokenBalance.add(_amount)==token.balanceOf(this),tokenBalance.add(_amount)==token.balanceOf(this),,4.279999999999999
"tokenInfo[_token].distributor!=address(0),""no distributor""","tokenInfo[_token].distributor!=address(0),""no distributor""",,4.279999999999999
totalSPent.add(_stageCapValue)<=mc.totalSupply(),totalSPent.add(_stageCapValue)<=mc.totalSupply(),,4.279999999999999
"getAssetAddress(_orderData[0])==_orderAddresses[2],""Maker asset data does not match order address in array""","getAssetAddress(_orderData[0])==_orderAddresses[2],""Maker asset data does not match order address in array""",,4.2700000000000005
"getAssetAddress(_orderData[1])==_orderAddresses[3],""Taker asset data does not match order address in array""","getAssetAddress(_orderData[1])==_orderAddresses[3],""Taker asset data does not match order address in array""",,4.2700000000000005
"now.sub(stakingTime[msg.sender])>cliffTime,""You recently staked, please wait before withdrawing.""","now.sub(stakingTime[msg.sender])>cliffTime,""You recently staked, please wait before withdrawing.""",,4.2700000000000005
"playerStatus[msg.sender].status==GAMESTATUS.REVEAL,""Game: Invalid Player Status (require reveal)""","playerStatus[msg.sender].status==GAMESTATUS.REVEAL,""Game: Invalid Player Status (require reveal)""",,4.2700000000000005
"Address.isContract(_msgSender())==false,""Contract is not allowed on SwipeIWO""","Address.isContract(_msgSender())==false,""Contract is not allowed on SwipeIWO""",!Address.isContract(msg.sender),4.27
"DAI.balanceOf(address(this))>=12405087959116478090418,""DAI balance incorrect""","DAI.balanceOf(address(this))>=12405087959116478090418,""DAI balance incorrect""",,4.27
"ERC20Votes(token).transfer(beneficiary,tokensClaimed),""Token transfer failed""","ERC20Votes(token).transfer(beneficiary,tokensClaimed),""Token transfer failed""","IERC20(token).transfer(beneficiary,tokensClaimed)",4.27
"IERC20(CosmoToken).transfer(tokenOwner,totalClaimed),""Reward transfer failed""","IERC20(CosmoToken).transfer(tokenOwner,totalClaimed),""Reward transfer failed""",,4.27
"IERC20(OXS).transfer(msg.sender,_activeDeposit)","IERC20(OXS).transfer(msg.sender,_activeDeposit)",,4.27
"IERC20(OXS).transfer(msg.sender,_pendingReward)","IERC20(OXS).transfer(msg.sender,_pendingReward)","IERC20(OXS).transfer(msg.sender,_pendingReward)",4.27
"IERC20(_token).decimals()==18,""BatchAuction: Token does not have 18 decimals""","IERC20(_token).decimals()==18,""BatchAuction: Token does not have 18 decimals""",,4.27
"SRC20(src20).executeTransfer(sender,recipient,amount),'SRC20 transfer failed'","SRC20(src20).executeTransfer(sender,recipient,amount),'SRC20 transfer failed'",,4.27
"_canBurn(timestampWhenDeposited[msg.sender]),""!timestamp""","_canBurn(timestampWhenDeposited[msg.sender]),""!timestamp""",_canBurn(timestampWhenDeposited[msg.sender]),4.27
"_freeSupply.current()+quantity<=maxWhitelistPassMints,""Not enough free mints remaining""","_freeSupply.current()+quantity<=maxWhitelistPassMints,""Not enough free mints remaining""",,4.27
"_msgSender()==ERC721.ownerOf(tokenId),""ERC721: caller must be owner of token""","_msgSender()==ERC721.ownerOf(tokenId),""ERC721: caller must be owner of token""",,4.27
"_numberMinted(msg.sender)+_quantity<=maxPerWhitelist,""Exceeds max amount for whitelist""","_numberMinted(msg.sender)+_quantity<=maxPerWhitelist,""Exceeds max amount for whitelist""",,4.27
"_numberMinted(msg.sender)+numberOfTokens<=maxPTCCPerWallet,""You can not mint this many""","_numberMinted(msg.sender)+numberOfTokens<=maxPTCCPerWallet,""You can not mint this many""",,4.27
"_tokenIdCounter.current()+mintCount<=TOTAL_SUPPLY,""Requested mint count exceeds supply""","_tokenIdCounter.current()+mintCount<=TOTAL_SUPPLY,""Requested mint count exceeds supply""",,4.27
"_tokenIds.current()+1<=COLLECTION_SIZE,""Collection size limit has already been reached""","_tokenIds.current()+1<=COLLECTION_SIZE,""Collection size limit has already been reached""",,4.27
"_verify(_activistLeaf(msg.sender),rootActivist,_proof),""Invalid merkle proof""","_verify(_activistLeaf(msg.sender),rootActivist,_proof),""Invalid merkle proof""","_verify(_leaf(msg.sender,_amount),rootActivist,_proof)",4.27
"balanceOf(to).add(amount)<=maxHoldLimit,""$BONEKILLER: max hold limit exceeds""","balanceOf(to).add(amount)<=maxHoldLimit,""$BONEKILLER: max hold limit exceeds""",,4.27
"bytes(_tokenURIs[id]).length!=0,""Token ID does not exist""","bytes(_tokenURIs[id]).length!=0,""Token ID does not exist""",,4.27
"getDomainHolder(_domainName,_tld)==_msgSender(),""You do not own this domain.""","getDomainHolder(_domainName,_tld)==_msgSender(),""You do not own this domain.""",,4.27
"getTotalTokens(tokenAddress,beneficiary)==0,""GeneralTokenVesting: Vest already created for this token => beneficiary""","getTotalTokens(tokenAddress,beneficiary)==0,""GeneralTokenVesting: Vest already created for this token => beneficiary""",,4.27
"isApprovedForAll(msg.sender,address(this)),""contract needs operator approval""","isApprovedForAll(msg.sender,address(this)),""contract needs operator approval""",,4.27
"keccak256(expectedArgs.witness)==keccak256(witness),""witness not as expected""","keccak256(expectedArgs.witness)==keccak256(witness),""witness not as expected""",,4.27
"ledgers[_ledger_name]!=address(0),'ledger is not exists.'","ledgers[_ledger_name]!=address(0),'ledger is not exists.'",,4.27
m_TotalAlloc.add(_alloc).sub(_priorAlloc)<=6500,m_TotalAlloc.add(_alloc).sub(_priorAlloc)<=6500,,4.27
"merkleRoots[_index]!=bytes32(0x0),""Merkle root is unset.""","merkleRoots[_index]!=bytes32(0x0),""Merkle root is unset.""",,4.27
"msg.sender==ownerOf(largerTokenId),""Only the token owner or contract owner can re-roll""","msg.sender==ownerOf(largerTokenId),""Only the token owner or contract owner can re-roll""",ownerOf(largerTokenId)==msg.sender,4.27
"numberMinted(tx.origin)+tokenNumbers<=maxMintPerAddress,""Not allowed to mint that much""","numberMinted(tx.origin)+tokenNumbers<=maxMintPerAddress,""Not allowed to mint that much""",,4.27
